epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.6615,1.55906,3.56425,1.71787,0.00631,0.97201,0.1079,0.07136,1.14193,3.27625,1.2365,9.996e-05,9.996e-05,9.996e-05
2,9.31096,1.13035,3.22877,1.44237,0.0061,0.97575,0.16657,0.13487,1.08287,3.18086,1.19776,0.000206188,0.000206188,0.000206188
3,12.9124,1.18061,2.80558,1.46267,0.00743,0.98321,0.14869,0.10764,1.21502,3.00755,1.31674,0.000310273,0.000310273,0.000310273
4,16.2504,1.16115,2.3871,1.42244,0.34786,0.08537,0.29814,0.2249,1.3421,2.32989,1.33323,0.000412213,0.000412213,0.000412213
5,20.0485,1.13463,2.11501,1.39435,0.30943,0.4827,0.33957,0.25128,1.26627,1.83966,1.34612,0.000512008,0.000512008,0.000512008
6,23.8592,1.14051,2.01303,1.41168,0.17505,0.59143,0.32862,0.23176,1.21147,2.43561,1.32762,0.00060966,0.00060966,0.00060966
7,27.4587,1.12449,1.89504,1.38651,0.26705,0.46291,0.3556,0.26176,1.43751,2.32002,1.49675,0.000705168,0.000705168,0.000705168
8,30.7521,1.05731,1.75799,1.34241,0.38041,0.53866,0.47348,0.38631,1.2044,1.87638,1.27008,0.000775273,0.000775273,0.000775273
9,34.3706,1.01872,1.68019,1.2958,0.59263,0.61387,0.57949,0.47859,1.11197,1.88198,1.24548,0.000767026,0.000767026,0.000767026
10,37.6988,1.10138,1.66256,1.36292,0.62676,0.47918,0.48953,0.39096,1.18055,2.00203,1.232,0.00075878,0.00075878,0.00075878
11,41.0645,0.99683,1.56113,1.29388,0.61496,0.43467,0.4868,0.38524,1.23023,2.13232,1.26286,0.000750533,0.000750533,0.000750533
12,44.3792,0.99561,1.51644,1.28898,0.6949,0.57432,0.75031,0.613,1.1681,1.66144,1.21068,0.000742286,0.000742286,0.000742286
13,48.0298,0.96788,1.39449,1.25672,0.61737,0.72774,0.78242,0.63008,1.13692,1.5847,1.20843,0.00073404,0.00073404,0.00073404
14,51.3397,1.00892,1.45481,1.30264,0.73368,0.69348,0.86181,0.71296,1.06646,1.38478,1.14432,0.000725793,0.000725793,0.000725793
15,54.6004,1.04283,1.51083,1.32243,0.82202,0.79086,0.90022,0.75676,0.96614,1.28801,1.06037,0.000717546,0.000717546,0.000717546
16,58.0101,0.94136,1.35128,1.26884,0.78971,0.77445,0.90553,0.77586,0.93629,1.16188,1.04943,0.000709299,0.000709299,0.000709299
17,61.1644,0.92089,1.28677,1.21897,0.88005,0.8825,0.92723,0.7948,0.94449,1.07646,1.08027,0.000701053,0.000701053,0.000701053
18,64.5537,0.87347,1.29049,1.21408,0.89233,0.90593,0.95248,0.81377,0.93681,1.11736,1.05918,0.000692806,0.000692806,0.000692806
19,67.7791,0.92715,1.27609,1.24352,0.92663,0.78473,0.92926,0.77242,0.99605,1.16705,1.09855,0.000684559,0.000684559,0.000684559
20,71.0842,0.86818,1.24612,1.20273,0.92855,0.85525,0.92523,0.77524,0.92832,0.96756,1.06471,0.000676313,0.000676313,0.000676313
21,74.2336,0.90435,1.24811,1.24311,0.91724,0.86473,0.92144,0.80001,0.91453,1.01223,1.05716,0.000668066,0.000668066,0.000668066
22,77.6805,0.84355,1.12934,1.17518,0.94246,0.91975,0.96618,0.84512,0.90871,0.91604,1.02021,0.000659819,0.000659819,0.000659819
23,81.1595,0.87733,1.16767,1.21533,0.92156,0.89376,0.95517,0.82811,0.87773,1.01438,1.02027,0.000651573,0.000651573,0.000651573
24,84.7098,0.84894,1.12151,1.19516,0.9062,0.89715,0.95114,0.82622,0.904,1.00456,1.01285,0.000643326,0.000643326,0.000643326
25,88.0669,0.86132,1.15891,1.20172,0.93044,0.91787,0.96843,0.83706,0.88661,0.92362,0.97451,0.000635079,0.000635079,0.000635079
26,91.413,0.84886,1.15719,1.20087,0.91237,0.88062,0.94883,0.82649,0.86859,0.92216,0.99095,0.000626832,0.000626832,0.000626832
27,94.7705,0.80753,1.10712,1.16687,0.84384,0.89987,0.94136,0.83419,0.82549,0.93082,0.9738,0.000618586,0.000618586,0.000618586
28,98.0395,0.76336,1.07689,1.13976,0.92943,0.89669,0.94913,0.84631,0.81827,0.90456,0.99846,0.000610339,0.000610339,0.000610339
29,101.561,0.78522,1.05362,1.16499,0.92171,0.93559,0.94057,0.85264,0.77174,0.8265,0.94142,0.000602092,0.000602092,0.000602092
30,105.006,0.76341,1.01422,1.1274,0.92345,0.88527,0.94526,0.86485,0.7385,0.81145,0.94911,0.000593846,0.000593846,0.000593846
31,108.515,0.8216,1.08285,1.15818,0.89644,0.93002,0.9586,0.8616,0.7591,0.84547,0.96746,0.000585599,0.000585599,0.000585599
32,111.892,0.78251,1.03008,1.15321,0.92428,0.96306,0.98371,0.8884,0.73424,0.78176,0.94312,0.000577352,0.000577352,0.000577352
33,115.173,0.80668,1.0893,1.17626,0.86826,0.97636,0.9776,0.89577,0.7144,0.77855,0.92568,0.000569106,0.000569106,0.000569106
34,118.383,0.77221,1.01447,1.16577,0.86526,0.9485,0.95944,0.85192,0.7964,0.8296,0.98067,0.000560859,0.000560859,0.000560859
35,121.786,0.7555,1.0126,1.14697,0.91871,0.94764,0.98433,0.87677,0.74568,0.75858,0.93584,0.000552612,0.000552612,0.000552612
36,125.074,0.78288,0.99569,1.15068,0.89335,0.90337,0.96836,0.87594,0.78011,0.78628,0.94051,0.000544365,0.000544365,0.000544365
37,128.22,0.83645,1.05151,1.16807,0.9707,0.97065,0.98686,0.8871,0.7704,0.73913,0.95311,0.000536119,0.000536119,0.000536119
38,131.482,0.76848,0.97446,1.13236,0.94312,0.96131,0.98608,0.90193,0.73757,0.72168,0.92525,0.000527872,0.000527872,0.000527872
39,134.725,0.7742,0.96483,1.13955,0.92869,0.93361,0.9729,0.88208,0.75264,0.75981,0.92468,0.000519625,0.000519625,0.000519625
40,138.083,0.73622,0.97476,1.11286,0.93206,0.91926,0.9762,0.88683,0.75475,0.7593,0.9268,0.000511379,0.000511379,0.000511379
41,141.335,0.77854,0.98331,1.13131,0.94807,0.92647,0.97348,0.8797,0.75507,0.73721,0.92132,0.000503132,0.000503132,0.000503132
42,144.577,0.69933,0.91465,1.10074,0.95549,0.94522,0.97532,0.89696,0.69576,0.75812,0.89055,0.000494885,0.000494885,0.000494885
43,147.916,0.68447,0.87213,1.08685,0.93787,0.95163,0.97316,0.88047,0.69732,0.8282,0.88001,0.000486639,0.000486639,0.000486639
44,151.183,0.64131,0.84925,1.07261,0.94971,0.97113,0.98893,0.90527,0.67419,0.72896,0.87267,0.000478392,0.000478392,0.000478392
45,154.334,0.72404,0.91816,1.09429,0.93955,0.96162,0.9854,0.9099,0.67247,0.67502,0.87962,0.000470145,0.000470145,0.000470145
46,157.729,0.64574,0.80566,1.06248,0.96722,0.9531,0.98929,0.91432,0.67206,0.64645,0.89264,0.000461898,0.000461898,0.000461898
47,161.137,0.69106,0.85709,1.08837,0.94332,0.9698,0.98851,0.91423,0.6783,0.68236,0.89874,0.000453652,0.000453652,0.000453652
48,164.511,0.65643,0.85459,1.09277,0.95018,0.94715,0.98658,0.92426,0.66373,0.65763,0.87703,0.000445405,0.000445405,0.000445405
49,167.839,0.7004,0.87778,1.09681,0.96305,0.96833,0.99046,0.93036,0.66263,0.65617,0.86859,0.000437158,0.000437158,0.000437158
50,171.134,0.66436,0.82515,1.09753,0.96411,0.96304,0.98999,0.91744,0.66439,0.64274,0.87926,0.000428912,0.000428912,0.000428912
51,174.721,0.65185,0.80652,1.05857,0.95032,0.97822,0.99095,0.91746,0.63854,0.6281,0.8666,0.000420665,0.000420665,0.000420665
52,178.307,0.62633,0.78589,1.05311,0.95148,0.94797,0.98511,0.91119,0.59342,0.64848,0.84016,0.000412418,0.000412418,0.000412418
53,181.903,0.67114,0.82662,1.06922,0.9556,0.95942,0.98288,0.90897,0.60638,0.67131,0.84818,0.000404172,0.000404172,0.000404172
54,185.752,0.65167,0.85009,1.07466,0.95478,0.97747,0.99168,0.92609,0.60736,0.61114,0.83856,0.000395925,0.000395925,0.000395925
55,189.176,0.64106,0.85042,1.04739,0.93304,0.97177,0.98651,0.92195,0.60717,0.60157,0.83925,0.000387678,0.000387678,0.000387678
56,192.559,0.68718,0.83431,1.0865,0.97011,0.94764,0.98721,0.93107,0.58567,0.58207,0.83727,0.000379431,0.000379431,0.000379431
57,195.764,0.65093,0.80226,1.05558,0.96755,0.95452,0.98723,0.93167,0.58979,0.57969,0.84206,0.000371185,0.000371185,0.000371185
58,198.867,0.59959,0.73709,1.02762,0.96676,0.95299,0.98216,0.92925,0.59731,0.56986,0.82788,0.000362938,0.000362938,0.000362938
59,202.089,0.60228,0.74843,1.03766,0.98673,0.9477,0.98847,0.94642,0.58654,0.56344,0.81042,0.000354691,0.000354691,0.000354691
60,205.481,0.61451,0.76873,1.04172,0.9864,0.94786,0.98991,0.93497,0.56956,0.55146,0.80239,0.000346445,0.000346445,0.000346445
61,208.769,0.64226,0.76973,1.05512,0.97473,0.96392,0.99163,0.93835,0.57856,0.56902,0.80734,0.000338198,0.000338198,0.000338198
62,211.957,0.66493,0.84307,1.07331,0.96643,0.97238,0.99202,0.9395,0.57733,0.56001,0.81064,0.000329951,0.000329951,0.000329951
63,215.093,0.65319,0.7867,1.06375,0.96097,0.96803,0.99022,0.94589,0.56785,0.56332,0.80058,0.000321705,0.000321705,0.000321705
64,218.583,0.63672,0.77453,1.04596,0.96375,0.9517,0.98834,0.92809,0.56314,0.57473,0.80503,0.000313458,0.000313458,0.000313458
65,221.759,0.6677,0.83377,1.08132,0.97891,0.95251,0.98777,0.92724,0.55622,0.58022,0.7933,0.000305211,0.000305211,0.000305211
66,225.092,0.58496,0.73618,1.04231,0.97897,0.96178,0.99205,0.93278,0.54433,0.57578,0.79106,0.000296964,0.000296964,0.000296964
67,228.155,0.63892,0.76739,1.07383,0.9749,0.9631,0.99004,0.94221,0.54137,0.5543,0.78865,0.000288718,0.000288718,0.000288718
68,231.331,0.65391,0.77699,1.07269,0.97702,0.95567,0.98994,0.94181,0.57242,0.56847,0.7958,0.000280471,0.000280471,0.000280471
69,234.729,0.66489,0.79194,1.08463,0.97622,0.95574,0.99134,0.93873,0.57622,0.58166,0.80987,0.000272224,0.000272224,0.000272224
70,237.856,0.57156,0.71508,1.03164,0.98113,0.96099,0.99279,0.94646,0.58324,0.56239,0.80639,0.000263978,0.000263978,0.000263978
71,241.181,0.62392,0.78121,1.06502,0.96851,0.97142,0.99236,0.94978,0.54855,0.54599,0.79335,0.000255731,0.000255731,0.000255731
72,244.334,0.61764,0.75539,1.0469,0.94816,0.97046,0.99037,0.94175,0.53095,0.56123,0.78999,0.000247484,0.000247484,0.000247484
73,247.66,0.65277,0.78909,1.08943,0.96062,0.96945,0.98866,0.9344,0.55372,0.56429,0.80084,0.000239238,0.000239238,0.000239238
